On offshore,Province name,Municipality name,longitude,latitude,Type,Status,Result,Current owner,Operator,oil or gas?,Year,within_zone,within_1km,outside,only_1km
ON,Drenthe,Emmen,6.85077321703546,52.76497025227913,Development hydrocarbon,Plugged and abandoned,Gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1987,False,True,False,True
ON,Drenthe,Emmen,6.86079127225651,52.79548315995759,Appraisal hydrocarbon,Plugged and abandoned,Gas shows,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1982,True,True,False,False
ON,Drenthe,Aa en Hunze,6.789281638465468,53.051379866737086,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1978,True,True,False,False
ON,Drenthe,Aa en Hunze,6.698102835570274,52.938255895112896,Exploration hydrocarbon,Closed-In,Gas,Vermilion Energy Netherlands B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1980,False,True,False,True
ON,Friesland,Ameland,5.62426714250008,53.45682117946687,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1964,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.540135656537778,51.894771125763214,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1956,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5459313784088895,51.89405772513475,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.54353276220422,51.89181132896042,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.5434601404395165,51.891810808169765,Development hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.53981233904996,51.89188342155935,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1957,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.53981233904996,51.89188342155935,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1977,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.554887946849312,51.8876294385848,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.558760695462129,51.88533997791535,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.558760695462129,51.88533997791535,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1980,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.558760695462129,51.88533997791535,Development hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1987,True,True,False,False
ON,Zuid-Holland,Rotterdam,4.54922546361681,51.889586919742314,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1958,False,True,False,True
ON,Zuid-Holland,Rotterdam,4.552214213629208,51.8843138558996,Development hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,NAM,Y,1959,False,True,False,True
